"Photon energy, eV", "n", "k"
2.8436740236949474,2.71744,1.33791
2.850211205358614,2.71764,1.33675
2.8567785122834035,2.71785,1.3356
2.8633761531893698,2.71807,1.33447
2.87000433872916,2.71831,1.33337
2.8766632815104343,2.71856,1.33229
2.883353196118598,2.71882,1.33123
2.8900742991398536,2.71909,1.33019
2.8968268091845726,2.71938,1.32917
2.9036109469110003,2.71968,1.32817
2.9104269350492893,2.72,1.32721
2.9172749984258757,2.72033,1.32628
2.9241553639882008,2.72067,1.32536
2.9310682608297807,2.72103,1.32446
2.9380139202156332,2.7214,1.32359
2.9449925756080693,2.72179,1.32276
2.9520044626928503,2.72219,1.32196
2.9590498194057213,2.72261,1.32117
2.9661288859593236,2.72304,1.32041
2.973241904870497,2.72349,1.31968
2.980389120987974,2.72395,1.319
2.9875707815204753,2.72443,1.31834
2.9947871360652107,2.72493,1.31771
3.002038436636797,2.72545,1.3171
3.009324937696595,2.72598,1.31653
3.016646896182475,2.72653,1.31601
3.0240045715390176,2.7271,1.31552
3.0313982257481595,2.72769,1.31505
3.0388281233602874,2.72829,1.31462
3.046294531525792,2.72892,1.31423
3.0537977200270863,2.72956,1.31388
3.061337961311104,2.73022,1.31358
3.0689155305222697,2.7309,1.31329
3.0765307055359727,2.7316,1.31305
3.08418376699253,2.73233,1.31285
3.0918749983316633,2.73307,1.31271
3.099604685827493,2.73384,1.31261
3.1073731186240527,2.73463,1.31253
3.1151805887713495,2.73544,1.3125
3.1230273912619575,2.73627,1.31252
3.130913824068174,2.73713,1.3126
3.1388401881797394,2.73801,1.31274
3.1468067876421246,2.73891,1.31289
3.1548139295954125,2.73983,1.31309
